Notes,County,County Code,Year,Year Code,Births,Total Population,Birth Rate,Average Age of Mother,Average LMP Gestational Age
Total,"Muscogee County, GA",13215,,,15091,995833,15.15,26.84,38.22
,"Paulding County, GA",13223,2014,2014,1663,148987,11.16,28.26,38.72
,"Paulding County, GA",13223,2015,2015,1609,152238,10.57,28.19,38.65
,"Paulding County, GA",13223,2016,2016,1644,155825,10.55,28.56,38.67
,"Paulding County, GA",13223,2017,2017,1602,159445,10.05,28.55,38.73
Total,"Paulding County, GA",13223,,,6518,616495,10.57,28.39,38.69
,"Richmond County, GA",13245,2013,2013,3302,202003,16.35,26.43,38.29
,"Richmond County, GA",13245,2014,2014,3161,201368,15.7,26.39,38.33
,"Richmond County, GA",13245,2015,2015,3054,201793,15.13,26.72,38.63
,"Richmond County, GA",13245,2016,2016,3061,201647,15.18,27,38.57
,"Richmond County, GA",13245,2017,2017,3003,201800,14.88,27.08,38.51
Total,"Richmond County, GA",13245,,,15581,1008611,15.45,26.72,38.46
,"Whitfield County, GA",13313,2014,2014,1391,103542,13.43,26.79,38.69
,"Whitfield County, GA",13313,2015,2015,1455,104216,13.96,26.75,38.52
,"Whitfield County, GA",13313,2016,2016,1424,104589,13.62,26.98,38.65
,"Whitfield County, GA",13313,2017,2017,1357,104658,12.97,26.98,38.64
Total,"Whitfield County, GA",13313,,,5627,417005,13.49,26.87,38.62
,"Unidentified Counties, GA",13999,2013,2013,56854,4722936,12.04,26.6,38.36
,"Unidentified Counties, GA",13999,2014,2014,42085,3447764,12.21,26.38,38.38
,"Unidentified Counties, GA",13999,2015,2015,42110,3461172,12.17,26.55,38.39
,"Unidentified Counties, GA",13999,2016,2016,41842,3476124,12.04,26.7,38.38
,"Unidentified Counties, GA",13999,2017,2017,41417,3499502,11.84,26.82,38.34
Total,"Unidentified Counties, GA",13999,,,224308,18607498,12.05,26.61,38.37
,"Hawaii County, HI",15001,2013,2013,2416,190821,12.66,27.85,38.79
,"Hawaii County, HI",15001,2014,2014,2448,194190,12.61,28.07,38.8
,"Hawaii County, HI",15001,2015,2015,2369,196428,12.06,28.18,38.71
,"Hawaii County, HI",15001,2016,2016,2349,198449,11.84,28.56,38.71
,"Hawaii County, HI",15001,2017,2017,2290,200381,11.43,28.7,38.68
Total,"Hawaii County, HI",15001,,,11872,980269,12.11,28.27,38.74
,"Honolulu County, HI",15003,2013,2013,13639,983429,13.87,28.88,38.74
,"Honolulu County, HI",15003,2014,2014,13219,991788,13.33,29.1,38.76
,"Honolulu County, HI",15003,2015,2015,13265,998714,13.28,29.35,38.79
,"Honolulu County, HI",15003,2016,2016,12983,992605,13.08,29.35,38.71
,"Honolulu County, HI",15003,2017,2017,12487,988650,12.63,29.48,38.64
Total,"Honolulu County, HI",15003,,,65593,4955186,13.24,29.23,38.73
,"Maui County, HI",15009,2013,2013,2060,160202,12.86,28.89,38.95
,"Maui County, HI",15009,2014,2014,1985,163019,12.18,29.02,39.04
,"Maui County, HI",15009,2015,2015,1898,164637,11.53,28.85,38.86
,"Maui County, HI",15009,2016,2016,1882,165386,11.38,29.32,38.74
,"Maui County, HI",15009,2017,2017,1883,166260,11.33,29.25,38.87
Total,"Maui County, HI",15009,,,9708,819504,11.85,29.06,38.89
,"Unidentified Counties, HI",15999,2013,2013,872,69602,12.53,28.52,38.93
,"Unidentified Counties, HI",15999,2014,2014,898,70564,12.73,29.03,39.03
,"Unidentified Counties, HI",15999,2015,2015,888,71824,12.36,28.86,38.88
,"Unidentified Counties, HI",15999,2016,2016,845,72117,11.72,29.18,38.79
,"Unidentified Counties, HI",15999,2017,2017,857,72247,11.86,29.28,38.88
Total,"Unidentified Counties, HI",15999,,,4360,356354,12.24,28.97,38.9
,"Ada County, ID",16001,2013,2013,4982,416464,11.96,28.87,38.71
,"Ada County, ID",16001,2014,2014,5120,426236,12.01,28.96,38.74
,"Ada County, ID",16001,2015,2015,5126,434211,11.81,29.25,38.76
,"Ada County, ID",16001,2016,2016,5045,444028,11.36,29.43,38.81
,"Ada County, ID",16001,2017,2017,4842,456849,10.6,29.38,38.89
Total,"Ada County, ID",16001,,,25115,2177788,11.53,29.18,38.78
,"Bonneville County, ID",16019,2014,2014,1876,108623,17.27,27.4,38.52
,"Bonneville County, ID",16019,2015,2015,1969,110089,17.89,27.51,38.47
,"Bonneville County, ID",16019,2016,2016,1910,112232,17.02,27.53,38.36
,"Bonneville County, ID",16019,2017,2017,1876,114595,16.37,27.78,38.25
Total,"Bonneville County, ID",16019,,,7631,445539,17.13,27.55,38.4
,"Canyon County, ID",16027,2013,2013,3092,198871,15.55,27.16,38.68
,"Canyon County, ID",16027,2014,2014,3219,203143,15.85,27.13,38.7
,"Canyon County, ID",16027,2015,2015,3175,207478,15.3,27.22,38.72
,"Canyon County, ID",16027,2016,2016,3129,211698,14.78,27.25,38.72
,"Canyon County, ID",16027,2017,2017,3065,216699,14.14,27.54,38.78
Total,"Canyon County, ID",16027,,,15680,1037889,15.11,27.26,38.72
,"Kootenai County, ID",16055,2013,2013,1710,144265,11.85,27.31,39.08
,"Kootenai County, ID",16055,2014,2014,1792,147326,12.16,27.74,39.17
,"Kootenai County, ID",16055,2015,2015,1856,150346,12.34,27.75,39.08
,"Kootenai County, ID",16055,2016,2016,1754,154311,11.37,28.02,39.03
,"Kootenai County, ID",16055,2017,2017,1811,157637,11.49,28.33,38.99
Total,"Kootenai County, ID",16055,,,8923,753885,11.84,27.83,39.07
,"Unidentified Counties, ID",16999,2013,2013,12599,852536,14.78,27.01,38.69
,"Unidentified Counties, ID",16999,2014,2014,10869,749136,14.51,27.09,38.81
,"Unidentified Counties, ID",16999,2015,2015,10701,752806,14.21,27.3,38.75
,"Unidentified Counties, ID",16999,2016,2016,10644,760871,13.99,27.41,38.7
,"Unidentified Counties, ID",16999,2017,2017,10587,771163,13.73,27.43,38.73
Total,"Unidentified Counties, ID",16999,,,55400,3886512,14.25,27.24,38.73
,"Champaign County, IL",17019,2013,2013,2386,204897,11.64,28.07,38.65
,"Champaign County, IL",17019,2014,2014,2436,207133,11.76,28.38,38.68
,"Champaign County, IL",17019,2015,2015,2399,208861,11.49,28.8,38.68
,"Champaign County, IL",17019,2016,2016,2395,208419,11.49,28.9,38.53
,"Champaign County, IL",17019,2017,2017,2295,209399,10.96,28.94,38.6
Total,"Champaign County, IL",17019,,,11911,1038709,11.47,28.62,38.63
,"Cook County, IL",17031,2013,2013,68930,5240700,13.15,29.06,38.59
,"Cook County, IL",17031,2014,2014,69579,5246456,13.26,29.23,38.61
,"Cook County, IL",17031,2015,2015,68848,5238216,13.14,29.42,38.58
,"Cook County, IL",17031,2016,2016,66779,5203499,12.83,29.64,38.56
,"Cook County, IL",17031,2017,2017,64374,5211263,12.35,29.79,38.57
Total,"Cook County, IL",17031,,,338510,26140134,12.95,29.42,38.58
,"DeKalb County, IL",17037,2014,2014,1209,105462,11.46,28.35,38.6
,"DeKalb County, IL",17037,2015,2015,1204,104352,11.54,28.33,38.84
,"DeKalb County, IL",17037,2016,2016,1093,104528,10.46,28.85,38.7
,"DeKalb County, IL",17037,2017,2017,1142,104733,10.9,28.59,38.53
Total,"DeKalb County, IL",17037,,,4648,419075,11.09,28.52,38.67
,"DuPage County, IL",17043,2013,2013,10592,932126,11.36,30.51,38.71
,"DuPage County, IL",17043,2014,2014,10737,932708,11.51,30.71,38.69
,"DuPage County, IL",17043,2015,2015,10891,933736,11.66,30.75,38.7
,"DuPage County, IL",17043,2016,2016,10832,929368,11.66,30.94,38.69
,"DuPage County, IL",17043,2017,2017,10337,930128,11.11,31.15,38.71
Total,"DuPage County, IL",17043,,,53389,4658066,11.46,30.81,38.7
,"Kane County, IL",17089,2013,2013,6766,523643,12.92,28.92,38.64
,"Kane County, IL",17089,2014,2014,6834,527306,12.96,28.99,38.63
,"Kane County, IL",17089,2015,2015,6688,530847,12.6,28.98,38.59
,"Kane County, IL",17089,2016,2016,6710,531715,12.62,29.44,38.5
,"Kane County, IL",17089,2017,2017,6339,534667,11.86,29.46,38.55
Total,"Kane County, IL",17089,,,33337,2648178,12.59,29.15,38.58
,"Kankakee County, IL",17091,2013,2013,1356,112120,12.09,27.01,38.47
,"Kankakee County, IL",17091,2014,2014,1317,111375,11.82,27.16,38.57
,"Kankakee County, IL",17091,2015,2015,1328,110879,11.98,27.36,38.62
,"Kankakee County, IL",17091,2016,2016,1354,110008,12.31,27.77,38.4
,"Kankakee County, IL",17091,2017,2017,1289,109605,11.76,27.8,38.33
Total,"Kankakee County, IL",17091,,,6644,553987,11.99,27.42,38.48
,"Kendall County, IL",17093,2014,2014,1637,121350,13.49,30.35,38.6
,"Kendall County, IL",17093,2015,2015,1624,123355,13.17,30.33,38.51
,"Kendall County, IL",17093,2016,2016,1595,124695,12.79,30.25,38.57
,"Kendall County, IL",17093,2017,2017,1481,126218,11.73,30.46,38.64
Total,"Kendall County, IL",17093,,,6337,495618,12.79,30.35,38.58
,"Lake County, IL",17097,2013,2013,7849,703019,11.16,29.48,38.64
,"Lake County, IL",17097,2014,2014,7883,705186,11.18,29.67,38.64
,"Lake County, IL",17097,2015,2015,7718,703910,10.96,29.75,38.64
,"Lake County, IL",17097,2016,2016,7660,703047,10.9,29.95,38.65
,"Lake County, IL",17097,2017,2017,7607,703520,10.81,30.15,38.62
Total,"Lake County, IL",17097,,,38717,3518682,11,29.8,38.64
,"LaSalle County, IL",17099,2013,2013,1132,112183,10.09,27.15,38.76
,"LaSalle County, IL",17099,2014,2014,1225,111241,11.01,27.87,38.79
,"LaSalle County, IL",17099,2015,2015,1288,111333,11.57,27.45,38.74
,"LaSalle County, IL",17099,2016,2016,1262,110642,11.41,27.96,38.74
,"LaSalle County, IL",17099,2017,2017,1180,110067,10.72,27.52,38.7
Total,"LaSalle County, IL",17099,,,6087,555466,10.96,27.6,38.75
,"McHenry County, IL",17111,2013,2013,3164,307409,10.29,29.78,38.68
,"McHenry County, IL",17111,2014,2014,3266,307283,10.63,29.68,38.64
,"McHenry County, IL",17111,2015,2015,3266,307343,10.63,29.89,38.61
,"McHenry County, IL",17111,2016,2016,3090,307004,10.07,29.94,38.57
,"McHenry County, IL",17111,2017,2017,3185,309122,10.3,30.13,38.67
Total,"McHenry County, IL",17111,,,15971,1538161,10.38,29.88,38.63
,"McLean County, IL",17113,2013,2013,2141,174647,12.26,28.65,38.49
,"McLean County, IL",17113,2014,2014,2030,174061,11.66,28.63,38.44
,"McLean County, IL",17113,2015,2015,2129,173166,12.29,28.73,38.62
,"McLean County, IL",17113,2016,2016,2020,172418,11.72,28.87,38.64
,"McLean County, IL",17113,2017,2017,2004,172290,11.63,29.23,38.53
Total,"McLean County, IL",17113,,,10324,866582,11.91,28.82,38.54
,"Macon County, IL",17115,2013,2013,1348,109278,12.34,26.5,38.52
,"Macon County, IL",17115,2014,2014,1367,108350,12.62,26.46,38.37
,"Macon County, IL",17115,2015,2015,1372,107303,12.79,26.5,38.47
,"Macon County, IL",17115,2016,2016,1327,106550,12.45,26.86,38.39
,"Macon County, IL",17115,2017,2017,1298,105801,12.27,26.94,38.34
Total,"Macon County, IL",17115,,,6712,537282,12.49,26.65,38.42
,"Madison County, IL",17119,2013,2013,3093,267225,11.57,27.62,38.63
,"Madison County, IL",17119,2014,2014,3097,266560,11.62,27.69,38.57
,"Madison County, IL",17119,2015,2015,3082,266209,11.58,27.87,38.58
,"Madison County, IL",17119,2016,2016,3051,265759,11.48,28.08,38.57
,"Madison County, IL",17119,2017,2017,2892,265428,10.9,28.34,38.48
Total,"Madison County, IL",17119,,,15215,1331181,11.43,27.91,38.57
,"Peoria County, IL",17143,2013,2013,2667,188429,14.15,27.31,38.56
,"Peoria County, IL",17143,2014,2014,2772,187319,14.8,27.49,38.5
,"Peoria County, IL",17143,2015,2015,2684,186221,14.41,27.5,38.67
,"Peoria County, IL",17143,2016,2016,2536,185006,13.71,27.78,38.55
,"Peoria County, IL",17143,2017,2017,2533,183011,13.84,27.78,38.41
Total,"Peoria County, IL",17143,,,13192,929986,14.19,27.57,38.54
,"Rock Island County, IL",17161,2013,2013,1787,147258,12.14,27.06,38.69
,"Rock Island County, IL",17161,2014,2014,1847,146063,12.65,27.41,38.68
,"Rock Island County, IL",17161,2015,2015,1970,146133,13.48,27.39,38.59
,"Rock Island County, IL",17161,2016,2016,1776,144784,12.27,27.45,38.72
,"Rock Island County, IL",17161,2017,2017,1668,144808,11.52,27.75,38.78
Total,"Rock Island County, IL",17161,,,9048,729046,12.41,27.41,38.69
,"St. Clair County, IL",17163,2013,2013,3341,266955,12.52,27.14,38.57
,"St. Clair County, IL",17163,2014,2014,3411,265729,12.84,27.4,38.46
,"St. Clair County, IL",17163,2015,2015,3422,264052,12.96,27.61,38.45
,"St. Clair County, IL",17163,2016,2016,3228,262759,12.29,27.88,38.36
,"St. Clair County, IL",17163,2017,2017,3221,262479,12.27,27.97,38.42
Total,"St. Clair County, IL",17163,,,16623,1321974,12.57,27.6,38.45
,"Sangamon County, IL",17167,2013,2013,2307,199145,11.58,27.9,38.46
,"Sangamon County, IL",17167,2014,2014,2242,198997,11.27,28.02,38.4
,"Sangamon County, IL",17167,2015,2015,2314,198712,11.64,28.04,38.39
,"Sangamon County, IL",17167,2016,2016,2245,197499,11.37,28.38,38.42
,"Sangamon County, IL",17167,2017,2017,2289,196452,11.65,28.3,38.34
Total,"Sangamon County, IL",17167,,,11397,990805,11.5,28.13,38.4
,"Tazewell County, IL",17179,2013,2013,1594,136352,11.69,27.94,38.69
,"Tazewell County, IL",17179,2014,2014,1601,135707,11.8,27.96,38.81
,"Tazewell County, IL",17179,2015,2015,1551,134800,11.51,27.99,38.92
,"Tazewell County, IL",17179,2016,2016,1496,134385,11.13,28.45,38.83
,"Tazewell County, IL",17179,2017,2017,1450,133526,10.86,28.36,38.63
Total,"Tazewell County, IL",17179,,,7692,674770,11.4,28.13,38.78
,"Will County, IL",17197,2013,2013,7647,682829,11.2,29.42,38.68
,"Will County, IL",17197,2014,2014,7947,685419,11.59,29.55,38.63
,"Will County, IL",17197,2015,2015,7803,687263,11.35,29.59,38.57
,"Will County, IL",17197,2016,2016,7804,689529,11.32,29.71,38.54
,"Will County, IL",17197,2017,2017,7427,692661,10.72,29.91,38.56
Total,"Will County, IL",17197,,,38628,3437701,11.24,29.63,38.59
,"Winnebago County, IL",17201,2013,2013,3532,290666,12.15,27.34,38.62
,"Winnebago County, IL",17201,2014,2014,3651,288542,12.65,27.32,38.56
,"Winnebago County, IL",17201,2015,2015,3621,287078,12.61,27.78,38.6
,"Winnebago County, IL",17201,2016,2016,3711,285873,12.98,27.76,38.58
,"Winnebago County, IL",17201,2017,2017,3501,284778,12.29,27.71,38.51
Total,"Winnebago County, IL",17201,,,18016,1436937,12.54,27.58,38.58
,"Unidentified Counties, IL",17999,2013,2013,25299,2283254,11.08,27.22,38.72
,"Unidentified Counties, IL",17999,2014,2014,22468,2048333,10.97,27.07,38.69
,"Unidentified Counties, IL",17999,2015,2015,22914,2036226,11.25,27.2,38.69
,"Unidentified Counties, IL",17999,2016,2016,22481,2024052,11.11,27.41,38.66
,"Unidentified Counties, IL",17999,2017,2017,21878,2012067,10.87,27.51,38.57
Total,"Unidentified Counties, IL",17999,,,115040,10403932,11.06,27.28,38.67
,"Allen County, IN",18003,2013,2013,5082,363014,14,27.37,38.49
,"Allen County, IN",18003,2014,2014,5232,365918,14.3,27.51,38.49
,"Allen County, IN",18003,2015,2015,5269,368450,14.3,27.55,38.53
,"Allen County, IN",18003,2016,2016,5151,370404,13.91,27.97,38.63
,"Allen County, IN",18003,2017,2017,5206,372877,13.96,27.8,38.59
Total,"Allen County, IN",18003,,,25940,1840663,14.09,27.64,38.55
,"Clark County, IN",18019,2014,2014,1484,114262,12.99,26.94,38.44
,"Clark County, IN",18019,2015,2015,1492,115371,12.93,27.49,38.59
,"Clark County, IN",18019,2016,2016,1448,116031,12.48,27.6,38.55
,"Clark County, IN",18019,2017,2017,1474,116973,12.6,27.75,38.52
Total,"Clark County, IN",18019,,,5898,462637,12.75,27.44,38.53
,"Delaware County, IN",18035,2013,2013,1278,117484,10.88,26.16,38.47
,"Delaware County, IN",18035,2014,2014,1231,117074,10.51,26.46,38.43
,"Delaware County, IN",18035,2015,2015,1188,116852,10.17,26.7,38.49
,"Delaware County, IN",18035,2016,2016,1174,115603,10.16,26.87,38.5
,"Delaware County, IN",18035,2017,2017,1126,115184,9.78,26.99,38.51
Total,"Delaware County, IN",18035,,,5997,582197,10.3,26.63,38.48
,"Elkhart County, IN",18039,2013,2013,2969,200563,14.8,26.39,38.86
,"Elkhart County, IN",18039,2014,2014,3112,201971,15.41,26.71,38.92
,"Elkhart County, IN",18039,2015,2015,3188,203474,15.67,26.75,38.77
,"Elkhart County, IN",18039,2016,2016,3126,203781,15.34,27.1,38.74
,"Elkhart County, IN",18039,2017,2017,3087,205032,15.06,27.24,38.71
Total,"Elkhart County, IN",18039,,,15482,1014821,15.26,26.84,38.8
,"Hamilton County, IN",18057,2013,2013,3877,296693,13.07,30.65,38.61
,"Hamilton County, IN",18057,2014,2014,3853,302623,12.73,30.61,38.57
,"Hamilton County, IN",18057,2015,2015,3867,309697,12.49,30.79,38.6
,"Hamilton County, IN",18057,2016,2016,3798,316373,12,31,38.59
,"Hamilton County, IN",18057,2017,2017,3835,323747,11.85,31.07,38.56
Total,"Hamilton County, IN",18057,,,19230,1549133,12.41,30.83,38.59
,"Hendricks County, IN",18063,2013,2013,1722,153879,11.19,28.92,38.62
,"Hendricks County, IN",18063,2014,2014,1794,156056,11.5,29.18,38.62
,"Hendricks County, IN",18063,2015,2015,1760,158192,11.13,29.24,38.75
,"Hendricks County, IN",18063,2016,2016,1760,160610,10.96,29.45,38.64
,"Hendricks County, IN",18063,2017,2017,1720,163685,10.51,29.42,38.55
Total,"Hendricks County, IN",18063,,,8756,792422,11.05,29.24,38.64
,"Johnson County, IN",18081,2013,2013,1810,145535,12.44,27.81,38.71
,"Johnson County, IN",18081,2014,2014,1799,147538,12.19,28,38.72
,"Johnson County, IN",18081,2015,2015,1866,149633,12.47,28.27,38.58
,"Johnson County, IN",18081,2016,2016,1871,151982,12.31,28.23,38.64
,"Johnson County, IN",18081,2017,2017,1814,153897,11.79,28.06,38.6
Total,"Johnson County, IN",18081,,,9160,748585,12.24,28.08,38.65
,"Lake County, IN",18089,2013,2013,6022,491456,12.25,27.61,38.54
,"Lake County, IN",18089,2014,2014,6109,490228,12.46,27.75,38.53
,"Lake County, IN",18089,2015,2015,5925,487865,12.14,27.77,38.57
,"Lake County, IN",18089,2016,2016,5657,485846,11.64,28.07,38.53
,"Lake County, IN",18089,2017,2017,5601,485640,11.53,28.13,38.53
Total,"Lake County, IN",18089,,,29314,2441035,12.01,27.86,38.54
,"La Porte County, IN",18091,2013,2013,1316,111281,11.83,26.55,38.68
,"La Porte County, IN",18091,2014,2014,1325,111444,11.89,26.58,38.66
,"La Porte County, IN",18091,2015,2015,1337,110884,12.06,26.91,38.52
,"La Porte County, IN",18091,2016,2016,1305,110015,11.86,26.91,38.61
,"La Porte County, IN",18091,2017,2017,1272,110029,11.56,27.27,38.51
Total,"La Porte County, IN",18091,,,6555,553653,11.84,26.84,38.6
,"Madison County, IN",18095,2013,2013,1541,130482,11.81,26.21,38.57
,"Madison County, IN",18095,2014,2014,1430,130069,10.99,26.41,38.56
,"Madison County, IN",18095,2015,2015,1509,129723,11.63,26.59,38.55
,"Madison County, IN",18095,2016,2016,1506,129296,11.65,26.75,38.47
,"Madison County, IN",18095,2017,2017,1396,129498,10.78,26.98,38.44
Total,"Madison County, IN",18095,,,7382,649068,11.37,26.58,38.52
,"Marion County, IN",18097,2013,2013,14352,928281,15.46,27.3,38.56
,"Marion County, IN",18097,2014,2014,14647,934243,15.68,27.5,38.52
,"Marion County, IN",18097,2015,2015,14495,939020,15.44,27.65,38.49
,"Marion County, IN",18097,2016,2016,14294,941229,15.19,27.93,38.48
,"Marion County, IN",18097,2017,2017,14389,950082,15.15,28,38.42
Total,"Marion County, IN",18097,,,72177,4692855,15.38,27.67,38.5
,"Monroe County, IN",18105,2013,2013,1267,141888,8.93,28.33,38.87
,"Monroe County, IN",18105,2014,2014,1310,143339,9.14,28.49,38.88
,"Monroe County, IN",18105,2015,2015,1359,144705,9.39,28.5,38.86
,"Monroe County, IN",18105,2016,2016,1301,145496,8.94,29.04,38.86
,"Monroe County, IN",18105,2017,2017,1249,146986,8.5,28.94,38.88
Total,"Monroe County, IN",18105,,,6486,722414,8.98,28.66,38.87
,"Porter County, IN",18127,2013,2013,1768,166557,10.61,28.4,38.74
,"Porter County, IN",18127,2014,2014,1812,167076,10.85,28.42,38.75
,"Porter County, IN",18127,2015,2015,1708,167688,10.19,28.84,38.85
,"Porter County, IN",18127,2016,2016,1750,167791,10.43,28.79,38.58
,"Porter County, IN",18127,2017,2017,1642,168404,9.75,28.8,38.69
Total,"Porter County, IN",18127,,,8680,837516,10.36,28.65,38.72
,"St. Joseph County, IN",18141,2013,2013,3559,266709,13.34,27.11,38.8
,"St. Joseph County, IN",18141,2014,2014,3489,267618,13.04,27.58,38.87
,"St. Joseph County, IN",18141,2015,2015,3488,268441,12.99,27.51,38.77
,"St. Joseph County, IN",18141,2016,2016,3577,269141,13.29,27.84,38.64
,"St. Joseph County, IN",18141,2017,2017,3497,270434,12.93,27.72,38.57
Total,"St. Joseph County, IN",18141,,,17610,1342343,13.12,27.55,38.73
,"Tippecanoe County, IN",18157,2013,2013,2218,180174,12.31,27.5,38.84
,"Tippecanoe County, IN",18157,2014,2014,2338,183074,12.77,27.83,38.79
,"Tippecanoe County, IN",18157,2015,2015,2387,185826,12.85,27.84,38.8
,"Tippecanoe County, IN",18157,2016,2016,2359,188059,12.54,28.04,38.69
,"Tippecanoe County, IN",18157,2017,2017,2240,190587,11.75,28.41,38.57
Total,"Tippecanoe County, IN",18157,,,11542,927720,12.44,27.92,38.74
,"Vanderburgh County, IN",18163,2013,2013,2264,181398,12.48,26.68,38.34
,"Vanderburgh County, IN",18163,2014,2014,2236,182006,12.29,26.92,38.32
,"Vanderburgh County, IN",18163,2015,2015,2223,181877,12.22,26.98,38.4
,"Vanderburgh County, IN",18163,2016,2016,2269,181721,12.49,27.24,38.28
,"Vanderburgh County, IN",18163,2017,2017,2128,181616,11.72,27.48,38.35
Total,"Vanderburgh County, IN",18163,,,11120,908618,12.24,27.06,38.34
,"Vigo County, IN",18167,2013,2013,1284,108291,11.86,26.11,38.53
,"Vigo County, IN",18167,2014,2014,1315,108175,12.16,26.24,38.51
,"Vigo County, IN",18167,2015,2015,1283,107896,11.89,26.29,38.51
,"Vigo County, IN",18167,2016,2016,1288,107931,11.93,26.71,38.5
,"Vigo County, IN",18167,2017,2017,1224,107516,11.38,26.73,38.31
Total,"Vigo County, IN",18167,,,6394,539809,11.84,26.41,38.48
,"Unidentified Counties, IN",18999,2013,2013,30773,2587217,11.89,26.64,38.68
,"Unidentified Counties, IN",18999,2014,2014,29564,2474141,11.95,26.81,38.72
,"Unidentified Counties, IN",18999,2015,2015,29696,2474086,12,26.92,38.66
,"Unidentified Counties, IN",18999,2016,2016,29457,2471744,11.92,27.1,38.69
,"Unidentified Counties, IN",18999,2017,2017,29270,2474631,11.83,27.2,38.64
Total,"Unidentified Counties, IN",18999,,,148760,12481819,11.92,26.93,38.68
,"Black Hawk County, IA",19013,2013,2013,1689,132546,12.74,27.33,38.75
,"Black Hawk County, IA",19013,2014,2014,1774,132897,13.35,27.57,38.74
,"Black Hawk County, IA",19013,2015,2015,1781,133455,13.35,28.2,38.79
,"Black Hawk County, IA",19013,2016,2016,1671,132904,12.57,27.72,38.9
,"Black Hawk County, IA",19013,2017,2017,1732,132648,13.06,28.07,38.85
Total,"Black Hawk County, IA",19013,,,8647,664450,13.01,27.78,38.81
,"Johnson County, IA",19103,2013,2013,1767,139155,12.7,29.81,38.73
,"Johnson County, IA",19103,2014,2014,1824,142287,12.82,29.75,38.63
,"Johnson County, IA",19103,2015,2015,1805,144251,12.51,30.1,38.76
,"Johnson County, IA",19103,2016,2016,1857,146547,12.67,30.34,38.85
,"Johnson County, IA",19103,2017,2017,1751,149210,11.74,30.37,38.82
Total,"Johnson County, IA",19103,,,9004,721450,12.48,30.07,38.76
,"Linn County, IA",19113,2013,2013,2705,216111,12.52,28.2,38.61
,"Linn County, IA",19113,2014,2014,2805,217751,12.88,28.33,38.54
,"Linn County, IA",19113,2015,2015,2855,219916,12.98,28.56,38.58
,"Linn County, IA",19113,2016,2016,2800,221661,12.63,28.6,38.75
,"Linn County, IA",19113,2017,2017,2799,224115,12.49,28.77,38.65
Total,"Linn County, IA",19113,,,13964,1099554,12.7,28.49,38.63
,"Polk County, IA",19153,2013,2013,6770,451677,14.99,28.31,38.67
,"Polk County, IA",19153,2014,2014,6948,459862,15.11,28.56,38.67
,"Polk County, IA",19153,2015,2015,7023,467711,15.02,28.71,38.68
,"Polk County, IA",19153,2016,2016,6921,474045,14.6,28.81,38.89
,"Polk County, IA",19153,2017,2017,6943,481830,14.41,28.91,38.77
Total,"Polk County, IA",19153,,,34605,2335125,14.82,28.66,38.74
,"Scott County, IA",19163,2013,2013,2270,170385,13.32,27.38,38.67
,"Scott County, IA",19163,2014,2014,2273,171387,13.26,27.87,38.64
,"Scott County, IA",19163,2015,2015,2234,172126,12.98,28.07,38.73
,"Scott County, IA",19163,2016,2016,2213,172474,12.83,28.34,38.82
,"Scott County, IA",19163,2017,2017,2117,172509,12.27,28.38,38.63
Total,"Scott County, IA",19163,,,11107,858881,12.93,28,38.7
,"Woodbury County, IA",19193,2013,2013,1541,102130,15.09,27.09,38.4
,"Woodbury County, IA",19193,2014,2014,1567,102271,15.32,27.24,38.56
,"Woodbury County, IA",19193,2015,2015,1492,102782,14.52,27.49,38.56
,"Woodbury County, IA",19193,2016,2016,1549,102779,15.07,27.53,38.56
,"Woodbury County, IA",19193,2017,2017,1416,102429,13.82,27.57,38.52
Total,"Woodbury County, IA",19193,,,7565,512391,14.76,27.38,38.52
,"Unidentified Counties, IA",19999,2013,2013,22352,1878412,11.9,27.56,38.75
,"Unidentified Counties, IA",19999,2014,2014,22496,1880671,11.96,27.7,38.71
,"Unidentified Counties, IA",19999,2015,2015,22292,1883658,11.83,27.85,38.75
,"Unidentified Counties, IA",19999,2016,2016,22392,1884283,11.88,28.01,38.86
,"Unidentified Counties, IA",19999,2017,2017,21672,1882970,11.51,28.23,38.74
Total,"Unidentified Counties, IA",19999,,,111204,9409994,11.82,27.87,38.76
,"Douglas County, KS",20045,2014,2014,1219,116585,10.46,29.11,38.36
,"Douglas County, KS",20045,2015,2015,1328,118053,11.25,29.02,38.56
,"Douglas County, KS",20045,2016,2016,1177,119440,9.85,29.39,38.5
,"Douglas County, KS",20045,2017,2017,1134,120793,9.39,29.43,38.47
Total,"Douglas County, KS",20045,,,4858,474871,10.23,29.23,38.47
,"Johnson County, KS",20091,2013,2013,7328,566933,12.93,29.99,38.7
,"Johnson County, KS",20091,2014,2014,7403,574272,12.89,29.95,38.68
,"Johnson County, KS",20091,2015,2015,7541,580159,13,30.27,38.68
,"Johnson County, KS",20091,2016,2016,7360,584451,12.59,30.4,38.72
,"Johnson County, KS",20091,2017,2017,7223,591178,12.22,30.48,38.64
Total,"Johnson County, KS",20091,,,36855,2896993,12.72,30.22,38.68
,"Sedgwick County, KS",20173,2013,2013,7496,505415,14.83,27.14,38.54
,"Sedgwick County, KS",20173,2014,2014,7359,508803,14.46,27.36,38.48
,"Sedgwick County, KS",20173,2015,2015,7291,511574,14.25,27.58,38.45
,"Sedgwick County, KS",20173,2016,2016,7309,511995,14.28,27.7,38.45
,"Sedgwick County, KS",20173,2017,2017,6924,513687,13.48,27.82,38.25
